Name,Label,Domain,Range,URI,Count,MVE,OE,Sparql-Template,Generator-Query-Template
abbreviation,abbreviation,owl:Thing,xsd:string,http://dbpedia.org/ontology/abbreviation,17180,what is the abbreviation of <A>,what is the abbreviation of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/abbreviation> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/abbreviation> [] . ?a a <http://dbpedia.org/ontology/Place> }
abstract,has abstract,owl:Thing,rdf:langString,http://dbpedia.org/ontology/abstract,6080186,what is the has abstract of <A>,what is the has abstract of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/abstract> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/abstract> [] . ?a a <http://dbpedia.org/ontology/Place> }
activeYearsEndDate,active years end date,owl:Thing,xsd:date,http://dbpedia.org/ontology/activeYearsEndDate,9468,when is the end of active years of <A>,when did <A> end being active,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/activeYearsEndDate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/activeYearsEndDate> [] . ?a a <http://dbpedia.org/ontology/Place> }
activeYearsEndYear,active years end year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/activeYearsEndYear,236344,what is the end year of active years of <A>,what year did <A> end being active,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/activeYearsEndYear> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/activeYearsEndYear> [] . ?a a <http://dbpedia.org/ontology/Place> }
activeYearsStartDate,active years start date,owl:Thing,xsd:date,http://dbpedia.org/ontology/activeYearsStartDate,9946,when is the start of active years of <A>,when did <A> start being active,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/activeYearsStartDate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/activeYearsStartDate> [] . ?a a <http://dbpedia.org/ontology/Place> }
activeYearsStartYear,active years start year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/activeYearsStartYear,370444,when is the start year of active years of <A>,what year did <A> start being active,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/activeYearsStartYear> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/activeYearsStartYear> [] . ?a a <http://dbpedia.org/ontology/Place> }
address,address,Place,rdf:langString,http://dbpedia.org/ontology/address,73073,what is the address of <A>,what is the address of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/address> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/address> [] . ?a a <http://dbpedia.org/ontology/Place> }
affiliation,affiliation,owl:Thing,Organisation,http://dbpedia.org/ontology/affiliation,22084,what is the affiliation of <A>,what is the affiliation of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/affiliation> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/affiliation> [] . ?a a <http://dbpedia.org/ontology/Place> }
ageRange,age range,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/ageRange,853,what is the age range of <A>,what is the age range of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/ageRange> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/ageRange> [] . ?a a <http://dbpedia.org/ontology/Place> }
album,album,owl:Thing,Album,http://dbpedia.org/ontology/album,53629,what is the album of <A>,what is the album of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/album> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/album> [] . ?a a <http://dbpedia.org/ontology/Place> }
alias,alias,owl:Thing,rdf:langString,http://dbpedia.org/ontology/alias,56728,what is the alias of <A>,what is the alias of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/alias> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/alias> [] . ?a a <http://dbpedia.org/ontology/Place> }
alongside,alongside,owl:Thing,Person,http://dbpedia.org/ontology/alongside,4465,who is the alongside of <A>,who is the alongside of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/alongside> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/alongside> [] . ?a a <http://dbpedia.org/ontology/Place> }
alternativeName,alternative name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/alternativeName,23180,what is the alternative name of <A>,what is the alternative name of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/alternativeName> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/alternativeName> [] . ?a a <http://dbpedia.org/ontology/Place> }
anthem,anthem,owl:Thing,Work,http://dbpedia.org/ontology/anthem,823,what is the anthem of <A>,what is the anthem of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/anthem> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/anthem> [] . ?a a <http://dbpedia.org/ontology/Place> }
appointer,appointer,owl:Thing,Person,http://dbpedia.org/ontology/appointer,9040,who is the appointer of <A>,who is the appointer of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/appointer> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/appointer> [] . ?a a <http://dbpedia.org/ontology/Place> }
area,area,owl:Thing,Area,http://dbpedia.org/ontology/area,78328,what is the area of <A>,what is the area of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/area> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/area> [] . ?a a <http://dbpedia.org/ontology/Place> }
areaCode,area code,Place,xsd:string,http://dbpedia.org/ontology/areaCode,136615,what is the area code of <A>,what is the area code of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/areaCode> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/areaCode> [] . ?a a <http://dbpedia.org/ontology/Place> }
areaLand,area land,Place,Area,http://dbpedia.org/ontology/areaLand,54036,what is the area land of <A>,what is the area land of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/areaLand> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/areaLand> [] . ?a a <http://dbpedia.org/ontology/Place> }
areaMetro,area metro,owl:Thing,Area,http://dbpedia.org/ontology/areaMetro,871,what is the area metro of <A>,what is the area metro of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/areaMetro> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/areaMetro> [] . ?a a <http://dbpedia.org/ontology/Place> }
areaTotal,area total,Place,Area,http://dbpedia.org/ontology/areaTotal,183958,what is the area total of <A>,what is the area total of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/areaTotal> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/areaTotal> [] . ?a a <http://dbpedia.org/ontology/Place> }
areaWater,area water,Place,Area,http://dbpedia.org/ontology/areaWater,48948,what is the area water of <A>,what is the area water of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/areaWater> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/areaWater> [] . ?a a <http://dbpedia.org/ontology/Place> }
associate,associate,owl:Thing,Person,http://dbpedia.org/ontology/associate,251,who is the associate of <A>,who is the associate of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/associate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/associate> [] . ?a a <http://dbpedia.org/ontology/Place> }
associatedBand,associated band,owl:Thing,Band,http://dbpedia.org/ontology/associatedBand,44999,what is the associated band of <A>,what is the associated band of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/associatedBand> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/associatedBand> [] . ?a a <http://dbpedia.org/ontology/Place> }
associatedMusicalArtist,associated musical artist,owl:Thing,MusicalArtist,http://dbpedia.org/ontology/associatedMusicalArtist,45007,what is the associated musical artist of <A>,what is the associated musical artist of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/associatedMusicalArtist> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/associatedMusicalArtist> [] . ?a a <http://dbpedia.org/ontology/Place> }
atcCode,ATC code,owl:Thing,xsd:string,http://dbpedia.org/ontology/atcCode,148,what is the ATC code of <A>,what is the ATC code of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/atcCode> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/atcCode> [] . ?a a <http://dbpedia.org/ontology/Place> }
authority,authority,owl:Thing,owl:Thing,http://dbpedia.org/ontology/authority,465,what is the authority of <A>,what is the authority of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/authority> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/authority> [] . ?a a <http://dbpedia.org/ontology/Place> }
averageDepth,average depth,Place,Length,http://dbpedia.org/ontology/averageDepth,3252,what is the average depth of <A>,what is the average depth of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/averageDepth> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/averageDepth> [] . ?a a <http://dbpedia.org/ontology/Place> }
averageSpeed,average speed,owl:Thing,Speed,http://dbpedia.org/ontology/averageSpeed,436,what is the average speed of <A>,what is the average speed of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/averageSpeed> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/averageSpeed> [] . ?a a <http://dbpedia.org/ontology/Place> }
award,award,owl:Thing,Award,http://dbpedia.org/ontology/award,71454,what is the award of <A>,what is the award of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/award> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/award> [] . ?a a <http://dbpedia.org/ontology/Place> }
background,background,owl:Thing,xsd:string,http://dbpedia.org/ontology/background,36256,what is the background of <A>,what is the background of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/background> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/background> [] . ?a a <http://dbpedia.org/ontology/Place> }
battery,battery,owl:Thing,Battery,http://dbpedia.org/ontology/battery,240,what is the battery of <A>,what is the battery of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/battery> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/battery> [] . ?a a <http://dbpedia.org/ontology/Place> }
battle,battle,owl:Thing,MilitaryConflict,http://dbpedia.org/ontology/battle,47133,what is the battle of <A>,what is the battle of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/battle> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/battle> [] . ?a a <http://dbpedia.org/ontology/Place> }
bibsysId,BIBSYS Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/bibsysId,10,what is the BIBSYS Id of <A>,what is the BIBSYS Id of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/bibsysId> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/bibsysId> [] . ?a a <http://dbpedia.org/ontology/Place> }
bnfId,BNF Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/bnfId,164,what is the BNF Id of <A>,what is the BNF Id of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/bnfId> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/bnfId> [] . ?a a <http://dbpedia.org/ontology/Place> }
border,border,owl:Thing,Area,http://dbpedia.org/ontology/border,108,what is the border of <A>,what is the border of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/border> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/border> [] . ?a a <http://dbpedia.org/ontology/Place> }
budget,budget,owl:Thing,Currency,http://dbpedia.org/ontology/budget,25802,what is the budget of <A>,what is the budget of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/budget> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/budget> [] . ?a a <http://dbpedia.org/ontology/Place> }
builder,builder,owl:Thing,owl:Thing,http://dbpedia.org/ontology/builder,30769,what is the builder of <A>,what is the builder of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/builder> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/builder> [] . ?a a <http://dbpedia.org/ontology/Place> }
buildingEndDate,building end date,owl:Thing,xsd:string,http://dbpedia.org/ontology/buildingEndDate,20812,what is the building end date of <A>,what is the building end date of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/buildingEndDate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/buildingEndDate> [] . ?a a <http://dbpedia.org/ontology/Place> }
buildingStartDate,building start date,owl:Thing,xsd:string,http://dbpedia.org/ontology/buildingStartDate,15701,what is the building start date of <A>,what is the building start date of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/buildingStartDate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/buildingStartDate> [] . ?a a <http://dbpedia.org/ontology/Place> }
callSign,call sign,owl:Thing,xsd:string,http://dbpedia.org/ontology/callSign,84,what is the call sign of <A>,what is the call sign of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/callSign> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/callSign> [] . ?a a <http://dbpedia.org/ontology/Place> }
capacity,capacity,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/capacity,18429,what is the capacity of <A>,what is the capacity of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/capacity> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/capacity> [] . ?a a <http://dbpedia.org/ontology/Place> }
casNumber,CAS number,owl:Thing,xsd:string,http://dbpedia.org/ontology/casNumber,7645,what is the CAS number of <A>,what is the CAS number of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/casNumber> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/casNumber> [] . ?a a <http://dbpedia.org/ontology/Place> }
category,category,owl:Thing,owl:Thing,http://dbpedia.org/ontology/category,4782,what is the category of <A>,what is the category of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/category> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/category> [] . ?a a <http://dbpedia.org/ontology/Place> }
chain,chain,owl:Thing,Company,http://dbpedia.org/ontology/chain,255,what is the chain of <A>,what is the chain of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/chain> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/chain> [] . ?a a <http://dbpedia.org/ontology/Place> }
chairman,chairman,owl:Thing,Person,http://dbpedia.org/ontology/chairman,8725,who is the chairman of <A>,who is the chairman of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/chairman> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/chairman> [] . ?a a <http://dbpedia.org/ontology/Place> }
chancellor,chancellor,owl:Thing,Person,http://dbpedia.org/ontology/chancellor,2291,who is the chancellor of <A>,who is the chancellor of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/chancellor> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/chancellor> [] . ?a a <http://dbpedia.org/ontology/Place> }
